#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-3.7643180, 22.7336651, 22.7077672, -0.3621517, 0.8096087, -0.4407946, 0.1381304, 0.1943490, 7.7817413, 0.3386083, -2.7021218, 6.4675936, 3.3089740, 3.2256294, -0.5392281, 2.7722075, 5.4980149, 9.8965033, 1.1560083, 3.0875510, 1.0998637, 1.6181157, 3.3608703, 5.7004548, 3.1653049, 5.9569134, 1.4248899)    0    0   -9.58871765  7 3.160 -8.45376252
(-1.1828675, 20.3746148, 29.7820467, -0.6862610, 0.5141651, -0.4065921, 0.3152190, 1.0131984, 0.8600018, 3.9246688, 4.6876443, 2.1610370, -0.1368152, 6.7712736, 0.4441376, 7.3074064, -0.0120362, -0.8910764, 7.9866276, 1.5124328, 3.9917623, 3.0061530, 6.2475994, 1.5697653, 6.3773472, 0.5229082, 7.8419328)    0    0   5.91619807  4 2.360 8.46641457
(2.1737690, 15.4820490, 31.8610922, -0.4005548, 0.5573350, 0.1478911, -0.7120827, 5.0573033, 2.2221827, 6.9401487, 3.7411220, 3.5484110, 5.0531561, 3.7093100, 0.3697086, 1.3356285, 2.8585740, 7.0493961, 3.3989433, 4.2744474, 9.2750204, 1.7962991, 1.0685743, 6.2470921, 6.9248625, 3.3594189, 5.4481260)    0    0   4.32629559  2 3.640 6.87252838
(-1.7478415, 26.9001981, 34.7413409, -0.2711086, -0.0777496, -0.9412436, 0.1857836, 8.7669753, 6.9807369, 5.1107903, -0.5289570, 6.4185016, 3.4850130, 4.2949033, 7.6819023, 8.1686957, 2.9532546, 10.9157260, 6.2431240, 4.5878123, 5.2689490, 0.3036192, 4.7858605, 3.2024834, 1.5428039, 3.2992583, 6.3220741)    0    0   5.04251938  0 4.120 6.34755906
(-9.0038949, 23.5900340, 30.6539943, -0.8294082, 0.1394645, 0.5197035, -0.1501330, 3.7222188, 4.3651717, 4.7453425, -1.1824803, 8.1344892, 8.0778066, 2.1813710, 7.8202128, 5.7576771, 5.1465606, 7.1234231, 6.8878490, 2.3074342, 3.7426617, 1.3272495, 4.3550459, 9.0379818, 1.2434538, 7.6272050, 3.0738432)    0    0   5.07240634  7 1.720 6.46633503
(-1.8178197, 16.9859671, 23.5487369, -0.9388917, -0.2122410, 0.2591425, -0.0792550, 1.7121063, 3.2405704, 5.6072356, 8.7645892, 4.8708720, 0.3985544, 5.6632269, 4.7812147, 6.7159055, 3.9148987, 0.9301693, 7.1058900, 6.8344907, 4.1586413, 3.9678099, 5.1186307, 3.4930334, 1.8647197, 3.3302236, 5.4706783)    0    0   -38.07511337  3 3.480 -53.36032747
(-3.6036927, 20.5457682, 28.6610546, -0.3735206, 0.2083132, -0.4287666, -0.7957683, -2.3430302, 5.9892117, 5.0412017, 5.5749174, 4.3400290, -0.9016880, 1.8481186, 1.6819247, 6.0560154, -2.6584844, 3.8214946, 3.1470246, 9.6420631, 3.1759708, 4.6471631, 0.5559651, 9.7161243, 9.6345974, 4.0437735, 0.8508382)    0    0   7.98614676  0 4.200 9.98633221
(-1.4486479, 23.5977067, 19.8383940, 0.6296362, -0.1540688, -0.2703455, -0.7118527, 4.7751432, 2.6973336, 1.3044579, 4.3745942, 6.1173908, 4.1665778, 5.6116492, 2.9499224, 2.7286677, 2.0465289, 3.2173337, 5.9823227, 4.0896935, 3.2763331, 6.7107802, 2.8165335, 3.9323086, 3.8755949, 7.1157725, 5.1151051)    0    0   -0.19648070  2 2.520 1.37665088
(3.3289839, 15.8495749, 31.3358040, -0.4355914, 0.5186329, 0.1157251, -0.7265588, 5.4969031, 4.1031411, 1.5643181, 3.8615179, 4.1243665, 6.3634699, 6.7943017, 0.4766993, 5.2612391, 3.5503537, 5.7452617, -3.0609588, 1.5374442, 4.8409666, 3.5022519, 6.0178218, 1.2262320, 3.6706537, 5.4127443, 4.4558045)    0    0   4.78092052  1 3.720 7.50050978
(-2.0885936, 22.8658347, 36.6464927, -0.2395512, 0.2281335, -0.9370380, 0.1119383, 6.1550544, 1.1797550, 2.1305304, 4.9273579, -3.7297391, 1.1071402, 2.4608275, 1.3900783, 3.7109680, 8.7248394, 2.6762994, 5.4797205, 2.8911190, 5.6525764, 1.6910205, 0.0064792, 2.8931689, 6.3449506, 5.2668957, 8.8416132)    0    0   4.97443770  1 4.040 6.18332009
