#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-25.2575431, -32.9263029, 20.2447129, 0.9318544, 0.2607556, -0.2403069, 0.0768544)    0    0   -8.98458558  7 0.280 -11.31442328
(-25.9998798, -34.1634751, 27.3695544, 0.8471259, 0.4169899, -0.3263622, -0.0445525)    0    0   -29.07584642  17 0.000 -36.87577389
(-25.8986780, -34.2387078, 28.0646445, 0.8471251, 0.4169907, -0.3263632, -0.0445521)    0    0   -28.18883663  4 0.480 -34.63557593
(-19.9193076, -42.4738894, 28.8752137, 0.8520817, 0.4624377, -0.1918511, -0.1526478)    0    0   -19.06157614  4 0.320 -21.93314157
(-25.8997379, -34.1776890, 27.6862777, 0.8471264, 0.4169894, -0.3263615, -0.0445520)    0    0   -28.32082576  4 0.400 -34.47473255
(-24.7970882, -38.7016856, 31.3525110, 0.8042475, 0.4907222, -0.3271683, -0.0730663)    0    0   -24.58238425  8 0.200 -30.25307259
(-21.8135226, -35.3141982, 38.1957939, 0.7977702, 0.4755791, -0.3597917, -0.0890902)    0    0   -19.28870239  6 0.320 -24.03460465
(-19.8482920, -30.6863841, 23.0045173, 0.8978090, 0.3461107, -0.2718804, -0.0150793)    0    0   -17.33038266  6 3.240 -22.41866674
(-28.5036815, -29.1444733, 24.3424438, 0.8289323, 0.2900910, -0.4675844, 0.1004157)    0    0   -27.53141014  6 4.200 -34.28418890
(-25.8919309, -34.3850368, 27.4370164, 0.8471249, 0.4169909, -0.3263633, -0.0445526)    0    0   -28.61803785  12 0.960 -37.53855965
(-21.5510334, -35.3841941, 38.2165083, 0.7977670, 0.4755761, -0.3598045, -0.0890837)    0    0   -18.74728940  5 0.920 -24.23226523
(-28.9069837, -29.1283495, 24.1294480, 0.8289321, 0.2900907, -0.4675848, 0.1004158)    0    0   -26.85139002  1 3.160 -33.67641613
(-31.6052079, -36.9535556, 26.7571308, 0.8168150, 0.4210391, -0.3206403, 0.2296282)    0    0   -22.63741330  8 3.080 -27.41389723
(-21.5591812, -35.1411956, 38.5444237, 0.7977569, 0.4755670, -0.3598438, -0.0890637)    0    0   -19.55347889  16 0.000 -26.57388725
(-24.6773579, -38.7341679, 31.4232864, 0.8042475, 0.4907220, -0.3271680, -0.0730678)    0    0   -23.44129607  1 1.080 -28.36499097
(-25.0090138, -36.0610341, 37.4988782, 0.7884938, 0.4673537, -0.3933202, -0.0718143)    0    0   -16.43981186  5 2.040 -20.44478113
(-19.9577320, -42.5057520, 28.9422016, 0.8520817, 0.4624377, -0.1918511, -0.1526478)    0    0   -19.92651063  8 0.480 -22.16193240
(-24.6531024, -37.3043066, 22.9949115, 0.8961806, 0.3615262, -0.2498992, -0.0609056)    0    0   -17.33359722  6 0.400 -21.66949210
